"record_id","session_id","speaker_id","account_id","speaker_order","first_name","last_name","full_name","title_affiliation","biography","image_url","linkedin_url"
"7f15b16a-b04f-47fa-9b10-5f03de306506","90cce9cc-a61e-489e-bb26-d937b7190e46","c3184c22-67e6-4c79-a993-cf670f4665d5","beddac2f-0aa5-4ef0-a31f-f526d3ddf853",1,"Mine","Cetinkaya-Rundel","Mine Cetinkaya-Rundel","Posit",,,
"13c1ac15-5244-4a96-88e5-dde436468f8b","f5d9b2d2-09d7-4d56-9cb2-2025daaca4f4","7913ef88-228a-4b3f-8ae8-37c159f972a4","d38e5814-1a31-4b6e-8698-fd937723a6f6",1,"sharon","wang","sharon wang","engineering manager, posit","","https://img.zuddl.com/775c4eef-fe87-43d2-9147-bdb95d19ffb9","https://www.linkedin.com/in/sharon--wang"
"6ed87c5b-348b-404b-a19f-0392d4123489","75d5ff32-6ce2-439e-9ffb-85f43a5eca0f","f4a4a62c-877d-4992-ba48-3707be33057d","b1d099ed-b0a0-432f-beec-d048790d72af",1,"James","Wade","James Wade","Dow",,,
"e1335772-02d0-4988-b282-056c09b07f32","9cf9f47e-0f42-49f3-ad9e-346ca879d4a9","88a0da5f-6d8b-4769-8217-fc39fb432a4f","3a545211-f6bf-4920-99d6-3e6a10185202",1,"Aditya ","Gadkari","Aditya  Gadkari","Technical Manager, ECOnorthwest","","https://img.zuddl.com/fa9c0178-67cb-4fec-a8db-56a7885a8419","https://www.linkedin.com/in/aditya-gadkari/"
"5bfee72a-5df6-46b3-9c5f-e83ee734fcaa","9a1df9f6-1285-4eb4-aba9-c9979acec58f","049168dc-3bdf-4c92-a9dd-fa0e6bf1db09","8032aa09-18f0-4a2e-be31-1d4b812d1a1c",1,"Neal","Richardson","Neal Richardson","Posit",,,
"6cc8186d-079b-4805-8ee2-e406fa38f1e7","738135c6-e8a7-4f79-bd56-b4c9e525f2e9","8e035abe-d3bc-45eb-84ff-b5063f3ca0fe","c250eb73-68fa-4ecd-ac71-67bc46651c18",1,"Kelsey","Chalmers","Kelsey Chalmers","The Lown Institute",,,
"338ff4fe-7a1e-4dc7-a7af-7c5c82ab5c01","24651444-01fe-4c51-a590-11619fe6c83f","367a7157-c2cd-43e2-bb00-f10335d1b5a5","4c706703-d69f-4da4-8350-50b4b77abee5",1,"John Paul ","Helveston","John Paul  Helveston","Associate Professor, The George Washington University","John Paul (JP) is an Associate Professor at George Washington University
in the Department of Engineering Management and Systems Engineering. His
research focuses on understanding how consumer preferences, market
dynamics, and policy affect the emergence and adoption of low-carbon
technologies, such as electric vehicles and renewable energy
technologies. He also studies the critical relationship between the US
and China in developing and mass producing these technologies. He has
expertise in exploratory data analysis, data visualization, reproducible
workflows, choice modeling, conjoint analysis, survey design,
interview-based research methods, the R programming language, China, and
the global electric vehicle industry. He speaks fluent Mandarin Chinese
and has conducted extensive fieldwork in China. John holds a Ph.D. and
M.S. in Engineering and Public Policy from Carnegie Mellon University
and a B.S. in Engineering Science and Mechanics (ESM) from Virginia
Tech.","https://img.zuddl.com/7ed05057-0666-4a94-b50a-53edaffa840a","https://www.linkedin.com/in/jhelvy"
"c5d30d93-d5ff-4d8d-8073-9bc5fcc10e3f","6b77515a-75b7-4a1a-898e-51dd187989fa","a6e9f8d4-b962-479d-a1da-7396c5733906","12e609d5-cced-496b-b477-df912ef3a983",1,"Becca ","Krouse","Becca  Krouse","Data Scientist, GSK","Becca Krouse is a data scientist in GSK’s Statistics and Data Science
Innovation Hub where she focuses on enabling users across R&D. A
biostatistician by training, she has experience spanning over 15 years
in the field of clinical research and specializes in developing R-based
tools.","https://img.zuddl.com/d8920e52-8a8d-4a60-90cb-a485081b8f0b","https://www.linkedin.com/in/becca-krouse-b6ba8820/"
"e3226f6f-bbc5-4722-bd4d-9544d6cd0d7b","8b6a06fc-35ee-4c73-99d3-cd30409d01f4","ad0f4554-21cd-4b56-96f0-f3259850d7ed","fcf63625-e01f-4183-9646-5cb958e5ffcd",1,"Brian","Lambert","Brian Lambert","Posit Software, PBC",,,
"e3226f6f-bbc5-4722-bd4d-9544d6cd0d7b","8b6a06fc-35ee-4c73-99d3-cd30409d01f4","52d6b1e4-cc7b-4a50-85b7-da9ff27f2b84","c617604d-968d-4c39-b0e2-251e731c6b3d",1,"Julia","Silge","Julia Silge","Posit PBC",,,
"7bf44d4c-ec98-46f9-a471-c51b4b27b034","3e42f2d1-7324-48fe-b907-b6cad22206f0","d5b3a7e4-4ea1-46ab-a4bd-8535076ef35d","4a0d27cf-20a5-4cb1-b2cc-956b9caa21bd",1,"Thomas","Lin Pedersen","Thomas Lin Pedersen","Posit",,,
"b2c8ece5-c2ea-4f73-97bb-4a7c0283f76f","1ec0dd0d-c8d4-48dd-a923-b9a3de575ce6","f536001c-d77f-46c6-bbb0-e475b6d842da","003e3916-5249-4804-8970-48820835311c",1,"Inger","Bergom","Inger Bergom","Harvard University",,,
"a81ebe06-2a42-4a4d-b02b-7b7149a7cd93","e341e281-d90c-4561-879d-2e1b23170022","95380fca-6523-4bc2-9e4a-1238659306ae","402eef78-a32c-437c-bcff-848e3d10b341",1,"Aliza","Samad","Aliza Samad","AI/ML Research Associate, NASA","Hi! I recently graduated from the University of California, Santa
Barbara with a B.S. in Statistics and Data Science. I've been working on
AI applications and tools with NASA for the past 1.5 years. I love
learning about machine learning techniques and the latest in AI
innovation. My other interests include hiking, reading, and music!\
\
Feel free to connect with me!","https://img.zuddl.com/8f12ed5d-af96-4c90-ba0b-abd2d1eef5ff","https://www.linkedin.com/in/aliza-samad/"
"a81ebe06-2a42-4a4d-b02b-7b7149a7cd93","e341e281-d90c-4561-879d-2e1b23170022","929d4311-26ff-491d-8bd3-d7f9e9a334be","3f70cf97-7e3d-42e5-a7b2-432e0f7890cf",1,"Sofia","Lendahl","Sofia Lendahl","NASA","","https://img.zuddl.com/d36acfd1-7e7a-4631-858a-93b09dc40b09","https://www.linkedin.com/in/sofia-lendahl/"
"d74fecd4-6133-4c31-aab5-014cf2c09166","c67adf38-93bc-4911-b8d3-44d14f4e2533","0b0670ce-c3dd-4fd7-9de0-9eb1e8f59083","ef928cfa-8f25-4e66-bac3-a86c97751633",1,"Jadey ","Ryan","Jadey  Ryan","Data Scientist, Washington State Department of Agriculture","Jadey Ryan is a Data Scientist at the Washington State Department of
Agriculture, where she manages data, builds automated reporting
workflows, and develops decision support tools using R, Quarto, and
Shiny. Her work supports the Washington Soil Health Initiative and
focuses on making complex data more accessible and actionable for
agricultural and environmental applications.","https://img.zuddl.com/15a354f5-661e-40cc-8b14-7929e2ffd29c","https://www.linkedin.com/in/jadey-ryan/"
"d74fecd4-6133-4c31-aab5-014cf2c09166","c67adf38-93bc-4911-b8d3-44d14f4e2533","0f092dbc-67d5-4c08-8492-966e8469f5f7","d5494928-c6c5-44fe-8a66-a6cf9cbce57d",1,"Tanya","Shapiro","Tanya Shapiro","IndieVisual",,,
"fd5c7d36-1e4b-47ac-9adf-0f2777210937","e5c06a46-7ed3-4cfa-bda9-4776c3400241","4636ae17-83b9-4946-a76d-dd6b3529bdfc","06f82120-709f-425e-90ae-54d885633e92",1,"Brendan","Broderick","Brendan Broderick","Principal Data Science Analyst, Mayo Clinic","","https://img.zuddl.com/93e3cfb8-4864-42b8-8f77-dbeeabbbb514",
"da94eb70-d1c9-4a5e-9f41-8f426da47946","b1b04f72-170a-4620-a45f-8f1bb25b493a","b8de784f-f42a-4369-9db9-18f157344b81","c07c8c85-d9f6-4e9a-92c9-5ace880b5bd1",1,"Christine","Zhang","Christine Zhang","Graphics Editor, New York Times","Christine Zhang is a New York Times reporter specializing in graphics
and data journalism. Her work has informed many of The Times’s
election-related projects, including the election night Needle, the
graphics accompanying the release of every New York Times Times/Siena
College poll, and the map showing the most detailed results of the 2024
presidential election. Before working in news, she was a research
analyst at The Brookings Institution, where she made her first real
foray into R, and she also spent a few years in finance. She contributes
periodically to The Times’s Business section, most recently in her
coverage of the Federal Reserve. Between elections and the economy, she
has no shortage of ideas to consider when trying to bring clarity to
complex (and occasionally esoteric) topics.","https://img.zuddl.com/6411c98a-0375-4135-8193-2652c4d8e5e4","https://www.linkedin.com/in/christineyzhang/"
"85a98ddc-eb3a-43f4-a5ca-f1837529e009","b1392761-5c74-4611-a799-c83d4ea8e324","a7eb3f4d-2801-47a3-adfb-0419ab6abecd","9bd77bbf-15f9-4b2c-8523-a5ac127d5233",1,"Eric","Nantz","Eric Nantz","Eli Lilly",,,
"4b89b10a-901d-4dd1-8b6d-8654e0233eda","eeddb806-bcb7-4bac-9e46-3345f0f30919","9da6bed8-1ed4-4e24-aa57-0839e3b0ed74","0e44e852-8bed-43fe-ae45-2f960fdb5eb4",1,"Josh","Livingston","Josh Livingston","",,,
"6c8ab3f2-7be0-47e5-b884-8dd79c1ebf31","78979efc-d061-4759-9161-cb3e44be1085","26080888-130c-4b64-a99a-284842512b5c","a7342d55-f173-458b-b68d-f371807c28e3",1,"Barret","Schloerke","Barret Schloerke","Posit",,,
"ee11f76d-cd71-41bb-999e-5d1286dfb3bc","43d37c45-dfce-461b-a08b-76c8aa330788","ec8a1787-028b-4b60-adad-431e35c2cb7c","84f2a82a-8b55-4ac7-825b-7a99502bd0ca",1,"Jonathan","McPherson","Jonathan McPherson","Posit",,,
"9acbcf63-04e7-418e-9c80-5df6f4eb5544","096dcf59-5ca2-44c5-944c-9ce50328a1ad","e0ddfb18-5dbc-452e-afda-4b6bbaee6c6a","56fc5c2b-0e35-407a-8624-cfd3a1da0ef3",1,"Bryce","Mecum","Bryce Mecum","Columnar",,,
"9acbcf63-04e7-418e-9c80-5df6f4eb5544","096dcf59-5ca2-44c5-944c-9ce50328a1ad","74bb3aaf-c49c-424b-932e-64bf5955ea6a","2b246e07-abff-428c-bcd5-031ac174ba6d",1,"Ian","Cook","Ian Cook","Columnar",,,
